task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	8b/b3ea72	61385	kraken_pipeline:run_common:getParams	COMPLETED	0	2025-07-02 09:06:05.407	4.5s	11ms	78.0%	0	0	59.8 KB	4.3 KB
2	bb/98b631	61384	validate_sample_sheet	COMPLETED	0	2025-07-02 09:06:05.399	4.7s	283ms	83.1%	8.4 MB	13 MB	1.1 MB	796.5 KB
7	29/58f1d3	61470	kraken_pipeline:output_results (1)	COMPLETED	0	2025-07-02 09:06:09.922	1.2s	10ms	97.0%	0	0	55.6 KB	183 B
10	c9/1a9b8e	61500	fastcat (3)	COMPLETED	0	2025-07-02 09:06:10.111	1.8s	496ms	59.9%	2.7 MB	3.8 MB	948.9 KB	800.6 KB
11	c9/18f15d	61585	fastcat (4)	COMPLETED	0	2025-07-02 09:06:11.954	1.7s	384ms	68.0%	2.6 MB	3.8 MB	890.8 KB	742 KB
3	c6/7d3310	61390	kraken_pipeline:run_common:getVersions	COMPLETED	0	2025-07-02 09:06:05.413	8.4s	3.9s	137.9%	63.7 MB	2.1 GB	12.1 MB	8.7 MB
12	5e/410ecb	61631	fastcat (5)	COMPLETED	0	2025-07-02 09:06:13.661	2s	559ms	64.7%	30.7 MB	165.8 MB	1019.9 KB	840 KB
14	6b/08dc0b	61688	fastcat (7)	COMPLETED	0	2025-07-02 09:06:15.643	1.9s	587ms	55.2%	2.6 MB	3.8 MB	922.2 KB	761.3 KB
13	e8/5c988f	61649	fastcat (6)	COMPLETED	0	2025-07-02 09:06:13.795	3.8s	2.5s	331.5%	90.4 MB	534.8 MB	124.1 MB	118.5 MB
15	1f/7a3169	61721	fastcat (8)	COMPLETED	0	2025-07-02 09:06:17.530	1.9s	569ms	68.2%	2.5 MB	3.8 MB	2.8 MB	2.6 MB
16	f2/3096be	61728	fastcat (9)	COMPLETED	0	2025-07-02 09:06:17.640	2s	801ms	161.9%	2.4 MB	3.8 MB	17 MB	16.2 MB
17	14/ed8ed8	61783	fastcat (10)	COMPLETED	0	2025-07-02 09:06:19.462	2.3s	655ms	114.0%	2.7 MB	3.8 MB	5.5 MB	5.2 MB
18	d5/ffeed5	61811	fastcat (11)	COMPLETED	0	2025-07-02 09:06:19.653	2.6s	1.1s	200.1%	2.6 MB	3.8 MB	25.4 MB	24.3 MB
