task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	d3/ffeb58	53549	kraken_pipeline:run_common:getParams	COMPLETED	0	2025-07-02 08:28:12.850	1.7s	24ms	55.2%	0	0	59.7 KB	4.2 KB
1	f9/4f593f	53554	validate_sample_sheet	COMPLETED	0	2025-07-02 08:28:12.857	2.3s	509ms	49.9%	2.5 MB	3.8 MB	1.1 MB	796.5 KB
7	2a/923ea5	53628	kraken_pipeline:output_results (1)	COMPLETED	0	2025-07-02 08:28:14.569	1s	9ms	76.2%	0	0	55.6 KB	187 B
9	9b/424e19	53663	fastcat (2)	COMPLETED	0	2025-07-02 08:28:15.203	1.6s	445ms	43.4%	2.6 MB	3.8 MB	396.1 KB	265.5 KB
10	d3/bf1be3	53662	fastcat (3)	COMPLETED	0	2025-07-02 08:28:15.196	1.9s	734ms	187.3%	2.5 MB	3.8 MB	23.2 MB	22 MB
2	94/33a7e4	53548	kraken_pipeline:run_common:getVersions	COMPLETED	0	2025-07-02 08:28:12.839	5.6s	3.8s	132.7%	64.4 MB	2.1 GB	12.1 MB	8.7 MB
12	af/bf9836	53781	fastcat (5)	COMPLETED	0	2025-07-02 08:28:17.101	1.4s	323ms	52.4%	2.5 MB	3.8 MB	201.5 KB	78.4 KB
11	70/955476	53753	fastcat (4)	COMPLETED	0	2025-07-02 08:28:16.815	1.8s	645ms	210.2%	68.3 MB	165.8 MB	24.9 MB	23.5 MB
15	55/ef611b	53867	fastcat (8)	COMPLETED	0	2025-07-02 08:28:18.602	1.3s	234ms	68.6%	2.5 MB	3.8 MB	131.7 KB	12.9 KB
14	d4/2ee079	53831	fastcat (7)	COMPLETED	0	2025-07-02 08:28:18.481	1.6s	335ms	56.2%	2.6 MB	3.8 MB	385.6 KB	238.4 KB
13	e8/41055a	53816	fastcat (6)	COMPLETED	0	2025-07-02 08:28:18.419	1.8s	485ms	164.2%	86 MB	404 MB	13.7 MB	13 MB
17	7c/c849ba	53936	fastcat (10)	COMPLETED	0	2025-07-02 08:28:20.055	1.4s	203ms	62.7%	2.6 MB	3.8 MB	141.3 KB	22.7 KB
18	1b/118f6c	53962	fastcat (11)	COMPLETED	0	2025-07-02 08:28:20.192	1.3s	156ms	67.2%	2.6 MB	3.8 MB	152.6 KB	33.7 KB
16	cd/9d10bc	53907	fastcat (9)	COMPLETED	0	2025-07-02 08:28:19.924	2s	820ms	285.6%	2.6 MB	3.8 MB	40.9 MB	38.8 MB
19	7c/835141	53997	fastcat (12)	COMPLETED	0	2025-07-02 08:28:21.431	1.6s	397ms	78.7%	2.6 MB	3.8 MB	2.7 MB	2.4 MB
20	fe/6dbbd5	54017	fastcat (13)	COMPLETED	0	2025-07-02 08:28:21.534	1.6s	272ms	77.4%	2.6 MB	3.8 MB	178.4 KB	56.4 KB
21	9d/3f2750	54068	fastcat (14)	COMPLETED	0	2025-07-02 08:28:21.909	1.4s	202ms	52.8%	82.8 MB	165.8 MB	226.4 KB	101.4 KB
22	c9/6a9777	54109	fastcat (15)	COMPLETED	0	2025-07-02 08:28:23.019	2.7s	1.5s	143.9%	87.9 MB	533.2 MB	39.4 MB	37.6 MB
25	c2/f2bec4	54207	kraken_pipeline:output_results (2)	COMPLETED	0	2025-07-02 08:28:25.684	1.2s	26ms	65.3%	2.5 MB	3.8 MB	55.6 KB	190 B
26	09/13d0ae	54238	kraken_pipeline:run_kraken2 (415)	COMPLETED	0	2025-07-02 08:28:26.861	2.4s	1.3s	19.2%	31.1 MB	7.9 GB	344.1 KB	5.4 KB
23	7a/366d90	54132	kraken_pipeline:run_kraken2 (412)	COMPLETED	0	2025-07-02 08:28:23.142	6.7s	5.4s	7.9%	102.5 MB	7.8 GB	468.1 KB	16.3 KB
