task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	01/2f09a4	57800	kraken_pipeline:run_common:getParams	COMPLETED	0	2024-05-24 13:57:06.746	2.8s	6ms	0.0%	0	0	37 KB	4.5 KB
6	e3/1a0686	57913	kraken_pipeline:output_results (1)	COMPLETED	0	2024-05-24 13:57:09.514	466ms	3ms	0.0%	0	0	32.6 KB	177 B
2	ce/f8cea8	57781	kraken_pipeline:run_common:getVersions	COMPLETED	0	2024-05-24 13:57:06.739	4.1s	1.4s	114.7%	65.2 MB	380.9 MB	12.1 MB	8.7 MB
1	99/3c5e8b	57766	validate_sample_sheet	COMPLETED	0	2024-05-24 13:57:06.727	11.2s	8.3s	100.4%	424 MB	768.6 MB	46.8 MB	26.7 MB
10	5b/e95e9b	57985	fastcat (3)	COMPLETED	0	2024-05-24 13:57:17.928	558ms	191ms	107.0%	48.5 MB	160.7 MB	11 MB	12.1 MB
8	8e/8c84ef	58017	fastcat (1)	COMPLETED	0	2024-05-24 13:57:18.490	385ms	41ms	94.1%	80.7 MB	174.6 MB	934.9 KB	1002.2 KB
12	c0/fc806d	58049	fastcat (5)	COMPLETED	0	2024-05-24 13:57:18.877	497ms	139ms	130.9%	85.3 MB	174.5 MB	8.8 MB	9.6 MB
15	25/634502	58147	fastcat (8)	COMPLETED	0	2024-05-24 13:57:19.376	1.8s	1.4s	132.4%	86.2 MB	174.8 MB	95.9 MB	101.6 MB
11	36/f79242	58179	fastcat (4)	COMPLETED	0	2024-05-24 13:57:21.165	1s	666ms	130.3%	85.5 MB	174.5 MB	44.3 MB	47.2 MB
13	ad/e12976	58212	fastcat (6)	COMPLETED	0	2024-05-24 13:57:22.192	531ms	162ms	115.2%	85.2 MB	174.5 MB	9.4 MB	10.1 MB
16	83/f577f5	58244	fastcat (9)	COMPLETED	0	2024-05-24 13:57:22.726	446ms	100ms	125.3%	79.9 MB	169.3 MB	6.5 MB	7.3 MB
9	7a/671840	58276	fastcat (2)	COMPLETED	0	2024-05-24 13:57:23.174	527ms	183ms	123.5%	85.2 MB	174.5 MB	11.8 MB	12.8 MB
17	5a/242ebc	58308	fastcat (10)	COMPLETED	0	2024-05-24 13:57:23.703	2.1s	1.7s	132.8%	86.2 MB	174.8 MB	116.3 MB	123.6 MB
